Fecha,Local,Visitante
1,23,5
1,24,20
1,21,6
1,9,22
1,8,7
1,17,10
1,4,1
1,11,18
1,3,12
1,16,14
1,15,13
1,2,19
2,20,23
2,6,5
2,22,24
2,7,21
2,10,9
2,1,8
2,18,17
2,12,4
2,14,11
2,13,3
2,19,16
2,2,15
3,23,6
3,20,22
3,5,7
3,24,10
3,21,1
3,9,18
3,8,12
3,17,14
3,4,13
3,11,19
3,3,2
3,16,15
4,22,23
4,7,6
4,10,20
4,1,5
4,18,24
4,12,21
4,14,9
4,13,8
4,19,17
4,2,4
4,15,11
4,16,3
5,23,7
5,22,10
5,6,1
5,20,18
5,5,12
5,24,14
5,21,13
5,9,19
5,8,2
5,17,15
5,4,16
5,11,3
6,10,23
6,1,7
6,18,22
6,12,6
6,14,20
6,13,5
6,19,24
6,2,21
6,15,9
6,16,8
6,3,17
6,11,4
7,23,1
7,10,18
7,7,12
7,22,14
7,6,13
7,20,19
7,5,2
7,24,15
7,21,16
7,9,3
7,8,11
7,17,4
8,18,23
8,12,1
8,14,10
8,13,7
8,19,22
8,2,6
8,15,20
8,16,5
8,3,24
8,11,21
8,4,9
8,17,8
9,23,12
9,18,14
9,1,13
9,10,19
9,7,2
9,22,15
9,6,16
9,20,3
9,5,11
9,24,4
9,21,17
9,9,8
10,14,23
10,13,12
10,19,18
10,2,1
10,15,10
10,16,7
10,3,22
10,11,6
10,4,20
10,17,5
10,8,24
10,9,21
11,23,13
11,14,19
11,12,2
11,18,15
11,1,16
11,10,3
11,7,11
11,22,4
11,6,17
11,20,8
11,5,9
11,24,21
12,19,23
12,2,13
12,15,14
12,16,12
12,3,18
12,11,1
12,4,10
12,17,7
12,8,22
12,9,6
12,21,20
12,24,5
13,23,2
13,19,15
13,13,16
13,14,3
13,12,11
13,18,4
13,1,17
13,10,8
13,7,9
13,22,21
13,6,24
13,20,5
14,15,23
14,16,2
14,3,19
14,11,13
14,4,14
14,17,12
14,8,18
14,9,1
14,21,10
14,24,7
14,5,22
14,20,6
15,23,16
15,15,3
15,2,11
15,19,4
15,13,17
15,14,8
15,12,9
15,18,21
15,1,24
15,10,5
15,7,20
15,22,6
16,3,23
16,11,16
16,4,15
16,17,2
16,8,19
16,9,13
16,21,14
16,24,12
16,5,18
16,20,1
16,6,10
16,22,7
17,23,11
17,3,4
17,16,17
17,15,8
17,2,9
17,19,21
17,13,24
17,14,5
17,12,20
17,18,6
17,1,22
17,10,7
18,4,23
18,17,11
18,8,3
18,9,16
18,21,15
18,24,2
18,5,19
18,20,13
18,6,14
18,22,12
18,7,18
18,10,1
19,23,17
19,4,8
19,11,9
19,3,21
19,16,24
19,15,5
19,2,20
19,19,6
19,13,22
19,14,7
19,12,10
19,18,1
20,8,23
20,9,17
20,21,4
20,24,11
20,5,3
20,20,16
20,6,15
20,22,2
20,7,19
20,10,13
20,1,14
20,18,12
21,23,9
21,8,21
21,17,24
21,4,5
21,11,20
21,3,6
21,16,22
21,15,7
21,2,10
21,19,1
21,13,18
21,14,12
22,21,23
22,24,9
22,5,8
22,20,17
22,6,4
22,22,11
22,7,3
22,10,16
22,1,15
22,18,2
22,12,19
22,14,13
23,23,24
23,21,5
23,9,20
23,8,6
23,17,22
23,4,7
23,11,10
23,3,1
23,16,18
23,15,12
23,2,14
23,19,13
