Cities,Mar del Plata,Buenos Aires,Sarandi,San Miguel de Tucuman,Banfield,Santiago del Estero,Santa Fe,Florencio Valera,La Plata,Godoy Cruz,Avellaneda,Lanus,Rosario,Parana,Cordoba
Mar del Plata,0,411,430,1605,414,1445,882,386,369,1163,408,410,720,868,1117
Buenos Aires,411,0,10,1256,17,1124,467,27,58,1196,7,12,300,453,695
Sarandi,430,10,0,1267,9,1134,478,18,49,1060,4,7,309,463,706
San Miguel de Tucuman,1605,1256,1267,0,1225,162,773,1235,1266,989,1216,1223,914,802,559
Banfield,414,17,9,1225,0,1140,483,16,58,985,11,6,315,469,711
Santiago del Estero,1445,1124,1134,162,1140,0,610,1073,1104,894,1053,1061,752,640,436
Santa Fe,882,467,478,773,483,610,0,495,526,917,475,483,173,31,359
Florencio Valera,386,27,18,1235,16,1073,495,0,36,1077,21,19,326,480,723
La Plata,369,58,49,1266,58,1104,526,36,0,1108,52,57,357,511,753
Godoy Cruz,1163,1196,1060,989,985,894,917,1077,1108,0,1055,1054,880,940,657
Avellaneda,408,7,4,1216,11,1053,475,21,52,1055,0,6,306,460,702
Lanus,410,12,7,1223,6,1061,483,19,57,1054,6,0,310,465,707
Rosario,720,300,309,914,315,752,173,326,357,880,306,310,0,187,401
Parana,868,453,463,802,469,640,31,480,511,940,460,465,187,0,390
Cordoba,1117,695,706,559,711,436,359,723,753,657,702,707,401,390,0
